id,scheduled_time,departure_icao,arrival_icao,delay_in_minutes,flight_status,airline,flight_number,departure_wind,departure_visibility,departure_sky_condition,departure_temperature,departure_altimeter,destination_wind,destination_visibility,destination_sky_condition,destination_temperature,destination_altimeter
106,2025-01-07T09:35:00.000,kmco,kfll,3,active,copa airlines,5053,33014KT,10SM,BKN022,07/03,3006.0,26012G19KT,10SM,SCT013,21/19,2994.0
108,2025-01-07T09:35:00.000,kmco,kfll,3,active,united airlines,3053,33014KT,10SM,BKN022,07/03,3006.0,26012G19KT,10SM,SCT013,21/19,2994.0
110,2025-01-07T09:35:00.000,kmco,kfll,3,active,silver airways,53,33014KT,10SM,BKN022,07/03,3006.0,26012G19KT,10SM,SCT013,21/19,2994.0
112,2025-01-07T19:10:00.000,kmco,kfll,11,active,azul,6969,36005KT,10SM,OVC024,08/01,3021.0,32010G17KT,10SM,BKN016,15/11,3000.0
114,2025-01-07T19:10:00.000,kmco,kfll,11,active,jetblue airways,5469,36005KT,10SM,OVC024,08/01,3021.0,32010G17KT,10SM,BKN016,15/11,3000.0
116,2025-01-07T19:10:00.000,kmco,kfll,11,active,copa airlines,5069,36005KT,10SM,OVC024,08/01,3021.0,32010G17KT,10SM,BKN016,15/11,3000.0
117,2025-01-07T19:10:00.000,kmco,kfll,11,active,united airlines,3069,36005KT,10SM,OVC024,08/01,3021.0,32010G17KT,10SM,BKN016,15/11,3000.0
119,2025-01-07T19:10:00.000,kmco,kfll,11,active,silver airways,69,36005KT,10SM,OVC024,08/01,3021.0,32010G17KT,10SM,BKN016,15/11,3000.0
121,2025-01-07T20:00:00.000,kmco,kfll,21,active,southwest airlines,4665,36005KT,10SM,OVC024,08/01,3021.0,32010G17KT,10SM,BKN016,15/11,3000.0
123,2025-01-07T20:33:00.000,kmco,kfll,11,active,spirit airlines,675,36005KT,10SM,OVC024,08/01,3021.0,32010G17KT,10SM,BKN016,15/11,3000.0
125,2025-01-08T06:00:00.000,kmco,kfll,17,active,spirit airlines,195,34010KT,10SM,CLR,07/00,3025.0,31008KT,10SM,FEW030,12/07,3016.0
127,2025-01-08T09:35:00.000,kmco,kfll,0,active,azul,6953,35010KT,10SM,CLR,06/01,3023.0,32006KT,10SM,CLR,09/07,3015.0
129,2025-01-08T09:35:00.000,kmco,kfll,0,active,jetblue airways,5453,35010KT,10SM,CLR,06/01,3023.0,32006KT,10SM,CLR,09/07,3015.0
131,2025-01-08T09:35:00.000,kmco,kfll,0,active,copa airlines,5053,35010KT,10SM,CLR,06/01,3023.0,32006KT,10SM,CLR,09/07,3015.0
134,2025-01-08T09:35:00.000,kmco,kfll,0,active,united airlines,3053,35010KT,10SM,CLR,06/01,3023.0,32006KT,10SM,CLR,09/07,3015.0
135,2025-01-08T09:35:00.000,kmco,kfll,0,active,silver airways,53,35010KT,10SM,CLR,06/01,3023.0,32006KT,10SM,CLR,09/07,3015.0
136,2025-01-08T18:19:00.000,kmco,kfll,32,active,spirit airlines,503,34008KT,10SM,BKN190,13/00,3019.0,32005KT,10SM,FEW045,20/12,3010.0
137,2025-01-08T19:10:00.000,kmco,kfll,16,active,azul,6969,32007KT,10SM,SCT190,14/M01,3015.0,33006KT,10SM,SCT045,21/12,3008.0
138,2025-01-08T19:10:00.000,kmco,kfll,16,active,jetblue airways,5469,32007KT,10SM,SCT190,14/M01,3015.0,33006KT,10SM,SCT045,21/12,3008.0
139,2025-01-08T19:10:00.000,kmco,kfll,16,active,copa airlines,5069,32007KT,10SM,SCT190,14/M01,3015.0,33006KT,10SM,SCT045,21/12,3008.0
140,2025-01-08T19:10:00.000,kmco,kfll,16,active,united airlines,3069,32007KT,10SM,SCT190,14/M01,3015.0,33006KT,10SM,SCT045,21/12,3008.0
141,2025-01-08T19:10:00.000,kmco,kfll,16,active,silver airways,69,32007KT,10SM,SCT190,14/M01,3015.0,33006KT,10SM,SCT045,21/12,3008.0
142,2025-01-08T19:59:00.000,kmco,kfll,3,active,spirit airlines,446,32004KT,10SM,FEW190,16/M02,3014.0,33006KT,10SM,SCT045,21/12,3008.0
143,2025-01-08T20:00:00.000,kmco,kfll,19,active,southwest airlines,4665,32004KT,10SM,FEW190,16/M02,3014.0,33006KT,10SM,SCT045,21/12,3008.0
144,2025-01-08T20:33:00.000,kmco,kfll,12,active,spirit airlines,675,32004KT,10SM,FEW190,16/M02,3014.0,VRB03KT,10SM,SCT033,21/13,3007.0
145,2025-01-09T06:09:00.000,kmco,kfll,14,active,spirit airlines,198,32008KT,10SM,CLR,07/02,3015.0,32006KT,10SM,FEW041,12/06,3009.0
146,2025-01-09T09:35:00.000,kmco,kfll,13,active,azul,6953,33013KT,10SM,CLR,06/M02,3014.0,32007G15KT,10SM,CLR,10/05,3007.0
147,2025-01-09T09:35:00.000,kmco,kfll,13,active,jetblue airways,5453,33013KT,10SM,CLR,06/M02,3014.0,32007G15KT,10SM,CLR,10/05,3007.0
148,2025-01-09T09:35:00.000,kmco,kfll,13,active,copa airlines,5053,33013KT,10SM,CLR,06/M02,3014.0,32007G15KT,10SM,CLR,10/05,3007.0
149,2025-01-09T09:35:00.000,kmco,kfll,13,active,united airlines,3053,33013KT,10SM,CLR,06/M02,3014.0,32007G15KT,10SM,CLR,10/05,3007.0
150,2025-01-09T09:35:00.000,kmco,kfll,13,active,silver airways,53,33013KT,10SM,CLR,06/M02,3014.0,32007G15KT,10SM,CLR,10/05,3007.0
151,2025-01-09T17:30:00.000,kmco,kfll,17,active,spirit airlines,359,01013G18KT,10SM,CLR,10/M01,3023.0,34011KT,10SM,FEW040,14/M02,3016.0
152,2025-01-09T12:30:00.000,kmco,kfll,17,active,netjets aviation,776,32007KT,10SM,CLR,03/M03,3020.0,33007KT,10SM,FEW045,08/02,3011.0
153,2025-01-09T17:00:00.000,kmco,kfll,48,active,fly alliance,129,01013G18KT,10SM,CLR,10/M01,3023.0,34011KT,10SM,FEW040,14/M02,3016.0
