depdelay,arrdelay,scheduleddepartdatetime,origin,dest,uniquecarrier,marketshareorigin,marketsharedest,hhiorigin,hhidest,nonhubairportorigin,smallhubairportorigin,mediumhubairportorigin,largehubairportorigin,nonhubairportdest,smallhubairportdest,mediumhubairportdest,largehubairportdest,nonhubairlineorigin,smallhubairlineorigin,mediumhubairlineorigin,largehubairlineorigin,nonhubairlinedest,smallhubairlinedest,mediumhubairlinedest,largehubairlinedest,year,month,dayofmonth,dayofweek,scheduledhour,originairportid,destairportid,tailnum,capacity,loadfactor,numflights,origincityname,originstate,distance,monopolyroute,temperature,temp_ninfty_n10,temp_n10_0,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_40_infty,windspeed,windspeedsquare,windgustdummy,windgustspeed,raindummy,raintracedummy,snowdummy,snowtracedummy,originmetropop,originmetrogdppercapita,destmetropop,destmetrogdppercapita
-3,-14,18-Jan-2004 09:45:00,PSP,SFO,AS,.18050848,.03618728,.26638609,.22755489,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,18,7,9,14262,14771,N622AS,151,.67825359,18.440001,"Palm Springs, CA",CA,421,1,16.25,0,0,0,1,0,0,0,5,25,0,0,1,0,0,0,3745320,27116.588,4143522,64955.418
0,-11,26-Jan-2004 12:20:00,MRY,SFO,OO,.76639998,.26599514,.64193791,.22755489,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,26,1,12,13476,14771,N912SW,55,.46432889,19.540001,"Monterey, CA",CA,77,1,10.495,0,0,0,1,0,0,0,6.55,42.9025,0,0,0,0,0,0,408867,37947.547,4143522,64955.418
-4,10,19-Jan-2004 07:55:00,BZN,SLC,DL,.1517413,.26804951,.50287122,.34176266,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2004,1,19,1,7,10849,14869,N3747D,189,.55272484,19.539,"Bozeman, MT",MT,347,0,-2.75,0,1,0,0,0,0,0,6.08333333333333,37.0069444444444,0,0,0,0,0,1,81681,28660.275,1030597,45043.602
15,24,29-Jan-2004 20:30:00,DEN,SLC,OO,.19614477,.5068993,.36196595,.34176266,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2004,1,29,4,20,11292,14869,N587SW,55,.55505615,19.545,"Denver, CO",CO,390,0,1.02166666666667,0,0,1,0,0,0,0,9.23333333333333,85.2544444444445,0,0,0,0,0,0,2321712,52610.918,1030597,45043.602
-4,-19,24-Jan-2004 15:59:00,TPA,PHL,FL,.070051633,.053369567,.15947269,.3455205,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,24,6,15,15304,14100,N994AT,100,.50330853,16.849001,"Tampa, FL",FL,920,0,17.8,0,0,0,1,0,0,0,6.9,47.61,0,0,0,0,0,0,2578104,37131.785,5822876,49266.84
13,15,26-Jan-2004 19:50:00,EWR,SDF,XE,.34068263,.13691683,.24937698,.16325977,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2004,1,26,1,19,11618,14730,N14148,55,.4554849,19.540001,"Newark, NJ",NJ,642,1,-7.2,0,1,0,0,0,0,0,13,169,0,0,0,0,0,0,18747431,57295.402,1200010,39731.336
1,-5,17-Jan-2004 11:45:00,EWR,SFO,CO,.34774423,.037772804,.24937698,.22755489,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2004,1,17,6,11,11618,14771,N37267,149,.68169558,16.709999,"Newark, NJ",NJ,2565,0,-1.27,0,1,0,0,0,0,0,11.6,134.56,0,0,0,0,0,0,18747431,57295.402,4143522,64955.418
11,21,27-Jan-2004 11:10:00,SYR,JFK,B6,.078328982,.38618663,.13416973,.21435742,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2004,1,27,2,11,15096,12478,N556JB,200,.72670943,19.219999,"Syracuse, NY",NY,209,1,-6.66666666666667,0,1,0,0,0,0,0,19.3333333333333,373.777777777778,0,0,0,0,1,0,649089,37251.133,18747431,57295.402
-3,6,12-Jan-2004 09:35:00,MEM,IAH,XE,.05563584,.37631497,.42491409,.33230445,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2004,1,12,1,9,13244,12266,N15574,55,.75613868,19.575001,"Memphis, TN",TN,469,0,9.16,0,0,1,0,0,0,0,8.7,75.69,0,0,0,0,0,0,1249048,44937.184,5190444,53535.344
43,62,09-Jan-2004 07:25:00,CLT,ATL,DL,.026278175,.5007568,.63077253,.31958899,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2004,1,9,5,7,11057,10397,N926DL,142,.50003833,19.615999,"Charlotte, NC",NC,227,0,0,0,1,0,0,0,0,0,3.98039215686274,15.8435217224145,0,0,1,0,0,0,1471706,64867.031,4802300,49081.773
